id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7615409,AMAZING 1 BR APT LES/Chinatown NYC,39938343,Aleksey,Manhattan,Lower East Side,40.71813,-73.99231,Entire home/apt,145,6,13,2018-06-03,0.27,1,0
34860021,"Spacious sunny 1 bedroom, steps away from subway",262803937,Roddison,Brooklyn,Prospect-Lefferts Gardens,40.66288,-73.95277,Entire home/apt,90,2,4,2019-06-24,2.73,1,73
10184162,In the heart of Williamsburg,50466143,Louis,Brooklyn,Williamsburg,40.71215,-73.95801,Private room,65,2,0,,,1,0
35575973,Luxury Building one stop from midtown Manhattan !!,265422938,泽宇,Queens,Long Island City,40.74887,-73.93829000000001,Private room,149,2,0,,,2,53
8685857,Spacious Brooklyn Getaway,42713726,Emily,Brooklyn,Crown Heights,40.66882,-73.95396,Private room,80,1,1,2016-01-05,0.02,1,0
951944,Quiet Studio in Prime SoHo,1408973,Dom,Manhattan,SoHo,40.72493,-74.00307,Entire home/apt,235,3,73,2019-07-05,0.94,1,44
29881570,New york Cozy Studio Near multiple metro Lines,12131971,Maria,Manhattan,Midtown,40.75855,-73.96961,Entire home/apt,140,1,3,2018-12-09,0.37,1,0
10056541,"Bright Studio - Park Slope, BK",10807649,Yehua,Brooklyn,South Slope,40.66218,-73.98385,Entire home/apt,61,2,20,2019-05-30,0.57,1,0
24327546,Cozy & warm private studio apartment in Astoria,80885460,Amy,Queens,Ditmars Steinway,40.77467,-73.9094,Entire home/apt,100,2,6,2019-06-16,0.42,1,0
1130680,It's all about Bushwick BROOKLYN,55176,Madison,Brooklyn,Bushwick,40.68767,-73.91261,Entire home/apt,100,3,308,2019-07-05,4.11,1,99
23754446,1 bedroom apartment on West 34th street,76104209,Rated,Manhattan,Midtown,40.75015,-73.98651,Entire home/apt,200,30,0,,,33,365
26803876,"Brooklyn studio by the park, 30 min to Manhattan",2052361,Katya,Brooklyn,Prospect-Lefferts Gardens,40.65501,-73.95948,Entire home/apt,80,3,2,2019-06-10,0.32,3,0
6652755,The Art Loft! Spacious and Bright!,16718896,Kim,Brooklyn,Bedford-Stuyvesant,40.6924,-73.96029,Entire home/apt,145,5,25,2018-01-02,0.51,1,0
12396603,Dean Street Oasis,20942935,Miriam,Brooklyn,Crown Heights,40.67529,-73.93670999999999,Private room,66,1,1,2016-05-02,0.03,1,0
7665764,US Open? Perfect Lg 1 BR apartment,40244009,Marvin,Queens,Sunnyside,40.73926,-73.92045,Entire home/apt,150,3,2,2015-09-13,0.04,1,0
10801094,FT Greene Flat Private Entrance,11189753,Sj,Brooklyn,Fort Greene,40.68729,-73.96995,Entire home/apt,225,10,10,2019-06-24,0.26,4,350
6780285,Beautiful Williamsburg townhouse on a park.,230856,Gabrielle & Malcolm,Brooklyn,Williamsburg,40.7154,-73.93866,Entire home/apt,295,30,6,2018-04-19,0.13,1,0
6885369,Beautiful Apt in Lefferts Gardens,1442860,Godfrey,Brooklyn,Flatbush,40.6548,-73.95388,Private room,40,2,32,2019-07-01,0.68,1,82
14041141,"Epic West Village, NYC rental",20971070,Melani,Manhattan,Chelsea,40.73819,-73.99835,Entire home/apt,175,27,2,2018-10-26,0.06,1,310
20899010,"Historic (& happening!) Prospect Heights, BK",5761096,Leah,Brooklyn,Prospect Heights,40.67556,-73.96427,Private room,80,1,1,2017-09-13,0.05,1,0
2206311,Modern Studio in Midtown East,5149997,Christine,Manhattan,Midtown,40.75701,-73.96781,Entire home/apt,140,3,0,,,1,0
24493582,Charming beautiful studio perfect location!!,26584499,Ofir,Manhattan,Upper West Side,40.78382,-73.98235,Entire home/apt,135,30,0,,,8,290
4233705,looking for someone to stay 12days,11243583,Joseph,Manhattan,Upper West Side,40.77715,-73.98235,Entire home/apt,260,1,0,,,1,0
21080763,"CHIC 2 BEDROOM W/ LUXURY FINISHES, WASHER DRYER",61391963,Corporate Housing,Manhattan,Kips Bay,40.74061,-73.97991,Entire home/apt,185,30,4,2019-03-31,0.25,91,201
32237469,Sonder | Stock Exchange | Welcoming 1BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.7074,-74.01175,Entire home/apt,228,2,2,2019-05-18,0.73,327,350
28895817,SUNNY ROOM WITH SKYLIGHT + 2 BEDS,23188519,Emily Wes,Brooklyn,Bedford-Stuyvesant,40.695240000000005,-73.95322,Private room,67,30,31,2019-06-16,3.41,6,333
25950590,Cozy room close to Central Park and Columbia,2732777,Beatriz,Manhattan,Upper West Side,40.8018,-73.96264000000001,Private room,115,3,19,2019-06-17,1.5,1,189
30091592,Best view near Times Square,16768238,Julio Adrian,Manhattan,Hell's Kitchen,40.75975,-73.9944,Private room,215,2,0,,,1,0
6044964,Beach Lovers Dream!,31204745,Monika,Queens,Arverne,40.58921,-73.79479,Entire home/apt,89,2,150,2019-06-11,3.0,1,268
13333542,Beautifully Designed Island Style Garden Suite,75478154,Malene,Brooklyn,Bedford-Stuyvesant,40.68252,-73.93863,Entire home/apt,229,4,92,2019-06-15,2.54,1,236
22249013,Cozy Bushwick Loft Apartment,17672907,Imani,Brooklyn,Bushwick,40.69178,-73.91243,Private room,30,3,7,2018-03-12,0.38,1,0
27802387,Living Room sofa Bed in Chelsea,12750945,Luis,Manhattan,Chelsea,40.74186,-73.99769,Shared room,85,2,22,2019-06-23,2.19,4,365
29233568,Cozy apartment in PERFECT location!,41083526,Brenda,Queens,Sunnyside,40.74529,-73.92175999999999,Shared room,50,1,9,2019-03-23,1.03,2,0
22051863,Sunny Apt.  near Columbus circle,44869463,Nardys,Manhattan,Hell's Kitchen,40.7668,-73.98428,Entire home/apt,160,3,0,,,1,0
19381437,Big furnitured room in UWS for August!,22655081,Alan,Manhattan,Upper West Side,40.79205,-73.97261999999999,Private room,45,5,0,,,1,0
25213872,Cheap & Comfy Huge Private Room!,5789204,Honglip,Brooklyn,Bensonhurst,40.61006,-73.99902,Private room,37,4,52,2019-06-30,3.94,1,70
7498508,The big little room,24377694,Kori,Brooklyn,Crown Heights,40.67804,-73.95411,Private room,105,1,1,2017-09-24,0.05,3,0
13746257,Prime North Williamsburg Luxury Studio,80501262,Raquel,Brooklyn,Williamsburg,40.718,-73.9525,Entire home/apt,175,2,9,2018-12-30,0.29,1,0
26774653,"Bright, Spacious Apartment in Brooklyn",27742407,Filippo,Brooklyn,Clinton Hill,40.68453,-73.96773,Entire home/apt,120,5,2,2018-09-14,0.19,1,13
27236170,Staten Island Home with a View,205132904,Farah,Staten Island,Tompkinsville,40.63513,-74.07929,Private room,135,2,65,2019-06-24,6.13,2,293
16722564,12 East 86th St full furnished,53179388,Raymond,Manhattan,Upper East Side,40.78046,-73.96047,Entire home/apt,200,30,0,,,10,164
9334840,Cozy warm one bedroom,2716515,Nick,Queens,Astoria,40.7576,-73.9067,Entire home/apt,70,1,1,2015-11-11,0.02,1,0
20914425,"Room in duplex  w/sep. bathroom, close to J train",878546,Semih,Brooklyn,Bedford-Stuyvesant,40.688590000000005,-73.92238,Private room,100,2,8,2019-02-11,0.38,1,0
34336740,Upper West 1 Bedroom / 1 Bath. Lincoln Center,131647128,Emily,Manhattan,Upper West Side,40.77567,-73.988,Entire home/apt,190,30,2,2019-06-15,1.36,25,322
29828614,New York home ferry ride from Manhattan.,224370048,Pariis,Staten Island,Tompkinsville,40.63304,-74.09244,Private room,90,1,6,2019-06-23,0.95,1,262
30425770,Queens Corner Lot,128580688,-TheQueensCornerLot,Queens,Queens Village,40.70524,-73.73349,Entire home/apt,150,1,51,2019-07-07,7.43,1,248
12519645,Upper East Side Room,56623911,Christa,Manhattan,East Harlem,40.78809,-73.95333000000001,Private room,45,1,3,2016-05-20,0.08,1,0
18675599,Large Place bushwick with furniture,129812563,Roodmy,Brooklyn,Bushwick,40.69416,-73.90816,Private room,45,7,11,2017-09-20,0.42,1,0
21526187,West Village Bedroom in duplex apartment,118137788,Chris,Manhattan,West Village,40.72986,-74.00465,Private room,100,2,3,2017-11-16,0.15,1,0
30717487,Charming Williamsburg Loft - 1 BR,63260432,Thibaut,Brooklyn,Greenpoint,40.7198,-73.95489,Entire home/apt,179,1,15,2019-05-19,2.54,1,0
6357128,Private Bedroom in Beautiful Apartment,20156894,Florence And Peter,Manhattan,Harlem,40.80627,-73.94896,Private room,95,4,20,2018-10-02,0.51,1,69
9597258,Cozy and affordable room.,32379616,Fabiola,Bronx,Williamsbridge,40.88165,-73.85625,Private room,34,5,17,2019-05-31,0.4,2,313
35467129,Gorgeous  Luxury Studio!!,205510323,Dave,Manhattan,Hell's Kitchen,40.77044,-73.99126,Entire home/apt,220,3,0,,,1,29
587698,Very close to Downtown Awesome Room,807642,Jeffrey,Brooklyn,Gravesend,40.60399,-73.97091999999999,Private room,72,1,61,2019-07-06,0.81,2,335
29943455,Cozy and Nice room in Queens! good subway access!,200239515,Shogo,Queens,Woodside,40.74287,-73.89439,Private room,32,28,3,2019-06-01,0.47,15,0
20149318,Wonderful room for rent in the Bronx,19297877,Albena,Bronx,Bronxdale,40.85527,-73.86719000000001,Private room,35,1,21,2018-12-11,0.96,1,284
14809342,Soho/Nolita Apartment w/Rooftop Terrace,3599088,Chris,Manhattan,Nolita,40.72191,-73.99472,Entire home/apt,120,19,5,2018-03-25,0.17,2,0
24378513,Sunny Spacious Private Bedroom in Brooklyn,714531,Gabriel,Brooklyn,Prospect-Lefferts Gardens,40.65618,-73.95664000000001,Private room,55,4,26,2019-06-24,1.81,1,73
18913450,Light Filled Private Room,27982346,Christopher,Manhattan,East Harlem,40.79729,-73.93536999999999,Private room,49,7,5,2017-12-29,0.21,1,0
9615209,Cozy Studio in Luxury Building LIC,49746656,Elva,Queens,Long Island City,40.74572,-73.95679,Entire home/apt,85,5,1,2016-08-13,0.03,1,0
15958726,"Affordable 1 bedroom apt, in great neighborhood",103631576,Nayamkah,Brooklyn,Bedford-Stuyvesant,40.68411,-73.94494,Entire home/apt,100,2,5,2017-05-24,0.16,1,0
31070935,Cozy room in duplex apartment - terrace with view,232112395,Alessandro,Brooklyn,Crown Heights,40.67686,-73.93159,Private room,45,14,0,,,1,30
2460611,1890s North Williamsburg Townhouse,4137875,Rachel,Brooklyn,Greenpoint,40.72559,-73.95033000000001,Private room,145,2,21,2019-04-22,0.45,1,64
34706620,Trendy open concept Williamsburg loft apartment,261768544,Kori,Brooklyn,Williamsburg,40.71125,-73.96115999999999,Entire home/apt,300,2,5,2019-07-01,2.94,1,57
13845597,1 Bedroom in williamsburg,81730337,Geoffray,Brooklyn,Williamsburg,40.70912,-73.94107,Entire home/apt,150,7,0,,,1,0
764753,Beautiful 3 bedroom apartment!!,3371859,Jenny & Jose,Brooklyn,Crown Heights,40.67679,-73.93776,Entire home/apt,82,8,108,2019-06-16,1.33,2,238
4512329,Spacious Room in Sugar Hill,16685925,Douglas,Manhattan,Washington Heights,40.83089,-73.94125,Private room,49,3,3,2016-07-14,0.05,2,0
15095408,One bedroom in luxury FiDi building,17423162,Rishab,Manhattan,Financial District,40.7083,-74.01406,Private room,80,5,1,2017-01-01,0.03,1,0
17459791,Bedroom Upper West Side 10min walk to Central Park,12588825,Kyle,Manhattan,Upper West Side,40.79358,-73.97452,Private room,175,4,3,2017-11-05,0.11,1,0
7255372,~Room for Guest in Stunning BK Apt~,37987441,Addie,Brooklyn,Bedford-Stuyvesant,40.68538,-73.92447,Private room,32,3,7,2019-01-27,0.15,1,0
35195915,Chelsea HIGHLINE Prime Location,244131674,Alexis,Manhattan,Chelsea,40.749,-74.00244,Entire home/apt,300,2,3,2019-07-07,3.0,1,365
34717733,TheGreystone,239661123,Shantell,Queens,Queens Village,40.72774,-73.73461999999999,Entire home/apt,99,1,6,2019-07-07,4.86,1,15
4267133,Large private room in huge LES Apt,6793885,Nick,Manhattan,Lower East Side,40.72156,-73.98711999999999,Private room,70,1,2,2015-06-10,0.03,1,0
36115461,Private Room In a Beautiful Tree-Lined Brownstone,24633205,Joshua,Brooklyn,Bedford-Stuyvesant,40.6887,-73.93982,Private room,50,1,1,2019-06-30,1.0,1,27
27338033,"Private Bushwick Room -- Close to J, M, L Trains",206009618,Keilyn,Brooklyn,Bushwick,40.70055,-73.93024,Private room,56,2,32,2019-06-25,2.97,1,158
959478,"Chic, Cozy LES 1BR. Weekly clean included!",4191076,Michelle,Manhattan,Chinatown,40.71687,-73.99046,Entire home/apt,87,59,51,2019-02-01,0.66,1,0
35768121,Murray Hill studio,2448443,Alex,Manhattan,Murray Hill,40.74849,-73.97708,Entire home/apt,140,3,1,2019-06-17,1.0,1,3
30512146,Artsy Upper East Side Apartment,21296382,Victor,Manhattan,Upper East Side,40.76703,-73.95957,Entire home/apt,200,3,3,2019-04-22,0.46,1,188
17624418,LOFTY 3 BEDROOMS DUPLEX 30MN FROM DOWNTOWN,6978404,Samira,Brooklyn,Bay Ridge,40.62645,-74.02888,Entire home/apt,165,20,0,,,1,46
35612199,Designer large studio in Brooklyn Heights,213432040,Naomi,Brooklyn,Brooklyn Heights,40.69924,-73.99296,Entire home/apt,150,2,0,,,1,74
20000820,Sunny and Spacious private bedroom,27527984,S,Brooklyn,Bushwick,40.69613,-73.90768,Private room,66,1,2,2017-10-08,0.09,1,0
450577,1 bdrm brownstone-west 70's-1 block Central Park,2237267,Marjorie,Manhattan,Upper West Side,40.77555,-73.9767,Entire home/apt,250,3,73,2019-06-07,0.84,1,284
21824124,Boutique Gowanus Queen Studio,159091490,Melissa,Brooklyn,Gowanus,40.6786,-73.98380999999999,Private room,139,1,82,2019-07-07,4.16,17,355
13802334,Bright chic room in Clinton hill,35775878,Lisa,Brooklyn,Clinton Hill,40.68366,-73.96563,Private room,65,7,10,2017-12-10,0.28,1,0
32160889,Brand NewXL 1BR~Prime midtown~Laundry~Elev~Sleeps4,162280872,Izi,Manhattan,Hell's Kitchen,40.76273,-73.9942,Entire home/apt,185,30,0,,,13,298
25943635,Sunny room in great location,10304316,Engorako,Queens,Astoria,40.76549,-73.9149,Private room,60,50,0,,,1,21
1455804,One Bedroom Apt Near Central Park,4028305,Abigail,Manhattan,Morningside Heights,40.8057,-73.95826,Entire home/apt,175,2,1,2017-10-28,0.05,1,0
20662567,Home with Private Terrace Off the Park,147796643,Cole,Manhattan,Upper West Side,40.78875,-73.9679,Private room,150,2,5,2018-09-22,0.22,1,0
8372368,The Herkimer House  Room #2,27708645,Malik,Brooklyn,Bedford-Stuyvesant,40.67831,-73.93903,Private room,65,3,3,2015-10-13,0.07,1,342
33113990,Adorable walk-up on the high line—with views!,2919299,Sean,Manhattan,Chelsea,40.750240000000005,-74.00213000000001,Entire home/apt,175,4,3,2019-06-09,1.11,1,15
34962979,Cozy 1bedroom apt/Manhattan/East side,48950686,Lili,Manhattan,Upper East Side,40.77821,-73.95504,Entire home/apt,150,2,3,2019-06-30,3.0,1,164
19317834,"Artsy, Cozy 1 bedroom in Flatbush",5416971,Nia,Brooklyn,East Flatbush,40.64041,-73.95133,Entire home/apt,97,2,21,2019-05-13,0.85,1,0
35380023,Owners duplex in beautiful bed stuy brownstone,413316,Laurel,Brooklyn,Bedford-Stuyvesant,40.67866,-73.94759,Entire home/apt,225,4,0,,,1,9
19914250,Close to all NYC! Perfect place and cozy room,48972208,Yuri,Manhattan,Hell's Kitchen,40.75996,-73.99798,Private room,89,1,0,,,1,0
31275494,Comfortable affordable room #5,20120009,Jannices,Brooklyn,Bushwick,40.68929,-73.90605,Private room,38,1,5,2019-06-19,0.82,6,7
14030375,Vanilla Tea - Cozy Studio Hideaway in Bed Stuy #5,57186170,Deirdre,Brooklyn,Bedford-Stuyvesant,40.68374,-73.9447,Private room,68,2,134,2019-06-20,3.8,3,245
34742586,Bright and Sunny Urban Getaway,85521952,Gregory,Manhattan,Inwood,40.86858,-73.92042,Entire home/apt,200,2,1,2019-06-30,1.0,1,234
21814906,Live/Work East Williamsburg Loft,6502688,Bryan,Brooklyn,Williamsburg,40.70592,-73.93513,Entire home/apt,165,2,7,2019-02-03,0.37,1,0
32517517,Bright room with Open Terrace 3min walk to Subway,204704622,Momoyo,Queens,Elmhurst,40.74063,-73.87732,Private room,33,29,1,2019-06-16,1.0,7,34
31859909,Beautiful room with view in newly-renovated house,5704932,Victor,Bronx,Fordham,40.86643,-73.88895,Private room,65,2,7,2019-04-01,1.28,3,110
27201257,Charming & convenient to subways/1 bed. brownstone,200391647,Lauren,Brooklyn,Park Slope,40.67947,-73.97618,Entire home/apt,150,7,1,2018-10-18,0.11,1,0
10340695,Spacious bedroom near Prospect Park,53217509,Kelsey,Brooklyn,Crown Heights,40.67434,-73.95761999999999,Private room,45,4,0,,,1,0
22480570,Sunny & Cozy Double Bedroom with private entrance,22382224,Meryem,Brooklyn,Windsor Terrace,40.66023,-73.9804,Private room,85,1,6,2018-04-02,0.33,1,0
7497287,Massive Bedroom by Prospect Park,241593,Thomas,Brooklyn,Flatbush,40.65036,-73.96306,Private room,70,1,0,,,2,0
33776235,Bright apt in the heart of the lower east side!,42615337,Capucine,Manhattan,East Village,40.72241,-73.98554,Entire home/apt,180,5,1,2019-07-03,1.0,1,32
27817851,A Nice Room For Unique people,152246149,Catherine,Bronx,Throgs Neck,40.82952,-73.82818,Private room,140,1,31,2019-06-09,3.01,5,365
10360144,Live like a local in NYC! Next to Ditmars subway,16823940,Missy,Queens,Ditmars Steinway,40.77673,-73.90993,Private room,40,2,8,2019-06-08,0.2,2,229
31369708,ROOMS ONE and TWO,226036723,Ravita,Brooklyn,Cypress Hills,40.68537,-73.87442,Private room,250,3,0,,,3,364
20582991,Private studio in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74844,-73.97713,Entire home/apt,130,30,1,2017-11-01,0.05,50,364
10035920,Best of Brooklyn,51502398,Sasha,Brooklyn,Crown Heights,40.6698,-73.94991999999999,Entire home/apt,175,3,77,2019-06-17,1.8,1,54
16916926,Clean! Quiet! Near train and park!,420620,Kathryn,Brooklyn,Windsor Terrace,40.65998,-73.97811,Private room,70,3,0,,,1,0
17111449,Spacious Private Room - Harlem/Manhattan Townhouse,4538012,Karen,Manhattan,East Harlem,40.80921,-73.94001999999999,Private room,70,2,89,2019-06-29,3.28,4,249
8777936,Prime carroll gardens chrming 2 bed rooms,40611169,Sol,Brooklyn,Carroll Gardens,40.67778,-73.9952,Entire home/apt,250,1,50,2019-06-25,1.46,5,365
32308362,Quiet Mid-Century Modern Apartment,99763169,Ashlin,Manhattan,Upper West Side,40.77995,-73.98464,Entire home/apt,220,2,3,2019-04-29,0.62,1,36
3638852,Sunny room in Alphabet City,3563235,Andra,Manhattan,East Village,40.72135,-73.98,Private room,85,5,12,2016-09-06,0.2,1,0
4129487,Peaceful Retreat in a Brownstone,18397763,Seun And Marie,Brooklyn,Bedford-Stuyvesant,40.68706,-73.93077,Private room,67,2,21,2019-05-21,0.36,7,58
26706133,Beautiful brand new apartment !,199147185,Lou,Brooklyn,Sunset Park,40.66362,-73.99616,Entire home/apt,330,1,1,2018-11-04,0.12,5,174
